Frame No.,newgc-csharp-1500,newgc-csharp-inverse-1500,newgc-frp-1500,newgc-frp-inverse-1500
217,465472,380055,494672,1055619
218,334083,366036,428322,1116692
219,373215,394885,397605,1161970
220,335818,526065,459103,906306
221,409264,447039,434317,1075648
222,399392,370375,497732,1032582
223,341706,510236,367678,990893
224,340129,483591,467240,1089700
225,338123,365336,401212,1208464
226,387547,395170,429302,1093040
227,408196,506456,357676,1011770
228,258976,411219,363096,1133577
229,426894,414676,499486,1064544
230,337301,429358,413323,1184256
231,413099,502570,396159,1102081
232,401688,431919,371326,1071636
233,335874,495228,504590,1113128
234,261384,456654,490175,1079142
235,469274,431714,376505,1034817
236,367916,524927,403307,861072
237,413468,453682,513828,1179646
238,343661,392059,493343,891387
239,343423,549872,390729,1035446
240,490837,506144,403778,1067110
241,399686,462271,498679,1035227
242,364454,581568,503835,861412
243,346889,548687,410603,974671
244,425061,558111,397022,981590
245,519155,495418,500933,903619
246,354587,665492,525062,1112312
247,386147,518175,415123,1061059
248,409768,458292,425625,1100504
249,532438,612779,618233,1090264
250,455665,536217,558657,1089494
251,373649,544161,437228,1215523
252,434391,526181,602292,1245003
253,409175,656078,556996,1083625
254,466731,523569,434004,952208
255,367599,666434,623929,891853
256,434559,552312,525612,1016052
257,420909,622114,428989,1111533
258,363017,547722,607536,855370
259,451989,705726,546084,863479
260,471976,498735,447977,797604
261,412693,688968,650082,966792
262,380558,548892,571403,840329
263,459682,648683,599487,1030007
264,413687,571365,573907,882346
265,435436,669631,575526,815370
266,360605,546896,520373,1047726
267,488322,699227,568869,969274
268,513903,665446,533977,1029484
269,426447,652191,526438,965714
270,395595,594472,560864,1057910
271,453286,711031,643761,912157
272,495782,735556,510012,996785
273,421427,682507,578423,1116823
274,409586,680435,628062,908760
275,423694,554915,507376,1010142
276,434121,690983,461418,896350
277,503256,784714,641662,909166
278,383260,561577,503363,922443
279,513884,748997,492885,981026
280,525117,754259,648123,782466
281,442896,668240,502337,764574
282,400251,724233,672327,812239
283,471812,804388,561689,826879
284,492801,667890,557365,882191
285,432194,726052,657883,942984
286,371531,824714,545985,801174
287,456986,663388,651123,862383
288,514103,730685,574444,972927
289,437489,806968,699413,915627
290,498987,663733,568295,997415
291,455968,710237,618493,903624
292,443493,677683,653591,746734
293,441893,633162,518764,895735
294,466424,674006,668072,1163924
295,475782,694581,582963,838090
296,424870,705097,657482,1054817
297,431793,776657,651575,845857
298,491541,710000,705968,819554
299,460312,716871,566989,1272602
300,434312,777861,600915,1809323
301,656516,606793,669210,927683
302,470413,788018,564544,976649
303,487329,789758,673909,894857
304,521899,631417,676325,792557
305,483718,808125,647078,803226
306,388755,799610,587754,821766
307,552172,776400,689934,917900
308,530759,727191,604755,950529
309,493021,729627,685665,1180365
310,395991,823888,590824,1087301
311,647578,801672,583723,913019
312,520779,717394,656884,918712
313,450328,853443,611221,1005057
314,627647,780585,644624,1077616
315,528957,812464,660966,893010
316,436183,712818,679856,924814
317,638611,746221,595261,897690
318,535544,779032,692686,933341
319,429479,715420,715052,995591
320,650386,770331,693610,969698
321,517527,692295,714572,917344
322,455269,665758,813998,1155079
323,633241,681485,604662,1302498
324,525136,742246,853635,959948
325,441586,554612,820838,1077383
326,645614,692327,776923,932581
327,517677,673451,831638,855510
328,435386,628702,859517,861548
329,632243,573964,730835,899172
330,519165,661527,802004,1011103
331,472507,646728,731203,846371
332,637024,685707,786707,972610
333,546275,707555,700804,816756
334,536823,686224,696652,887309
335,549877,734250,691403,919187
336,555037,787233,639795,863903
337,505999,674016,571729,1049070
338,567782,703837,660897,774539
339,576049,692406,523685,973272
340,590619,716181,636581,986726
341,559730,683963,559254,859630
342,543004,702735,550058,977196
343,534089,578895,628394,943031
344,572092,684666,569937,838076
345,560154,772832,598638,854601
346,590017,571323,555634,932278
347,522090,775864,596320,855548
348,579664,583761,558503,876742
349,533716,623458,601629,837460
350,542122,577845,680991,890295
351,658523,699451,609611,819037
352,522767,692234,620845,818001
353,589583,607348,697641,854606
354,668380,687294,576572,1000942
355,545612,623533,711277,999780
356,654356,690032,691039,997886
357,572676,706841,658718,1071504
358,556534,613805,687065,1043284
359,649569,693535,684853,1423330
360,563966,571677,594029,1021983
361,600314,677921,672588,977106
362,541642,661036,653525,900461
363,494215,682413,642441,1050809
364,598540,647461,591869,959794
365,511723,694217,634141,978604
366,469017,712439,615288,1060280
367,608486,651571,583369,954769
368,531943,693862,680445,985682
369,628417,663071,504390,856131
370,513170,624054,654650,963404
371,565669,654314,541292,745409
372,629835,658480,552527,1395426
373,510040,541204,633204,891988
374,556119,685576,544428,1001679
375,655205,668898,627899,1155392
376,512069,672411,571687,978180
377,475782,673605,601937,1064628
378,637995,682670,615219,1009956
379,488164,649504,570260,998315
380,460046,569285,666841,976771
381,661848,694739,537742,920115
382,505635,662110,596978,854400
383,589634,679992,638018,1028803
384,657295,682157,545985,1098988
385,588603,711110,706118,1070581
