Frame Count,Frame Time (ns)
0,172206
1,961833
2,9391872
3,1217151
4,817927
5,706514
6,713321
7,820773
8,713083
9,735947
10,740688
11,868387
12,798038
13,763445
14,791395
15,735136
16,816946
17,783301
18,795529
19,771334
20,858029
21,774838
22,800180
23,774865
24,891527
25,809057
26,783930
27,796601
28,870948
29,786006
30,782148
31,789108
32,888214
33,787798
34,780087
35,789175
36,898183
37,834857
38,846562
39,920540
40,911139
41,816452
42,813728
43,800894
44,903502
45,810518
46,823529
47,806207
48,915991
49,835062
50,820054
51,921679
52,832380
53,837628
54,829207
55,925994
56,822251
57,835608
58,825703
59,913813
60,802653
61,828568
62,815473
63,926101
64,796298
65,795594
66,804364
67,884389
68,808367
69,813271
70,835925
71,937517
72,856873
73,858897
74,862219
75,946824
76,854381
77,856634
78,944679
79,836695
80,834050
81,855543
82,934307
83,842135
84,870939
85,825340
86,958184
87,849221
88,857353
89,947248
90,829133
91,835888
92,856462
93,957429
94,868485
95,890151
96,867444
97,928989
98,834218
99,855422
100,874209
101,962775
102,880339
103,885942
104,1011756
105,890892
106,900992
107,896844
108,964198
109,863730
110,865825
111,953570
112,851302
113,859313
114,843278
115,927963
116,829814
117,855944
118,888223
119,937102
120,878609
121,855692
122,968355
123,894914
124,911829
125,881361
126,998199
127,934238
128,982090
129,1049484
130,972413
131,945010
132,1054761
133,946466
134,910832
135,899905
136,999775
137,899285
138,873864
139,984474
140,892366
141,876905
142,882266
143,993407
144,877148
145,889683
146,949699
147,900092
148,898021
149,878016
150,1031864
151,912772
152,932525
153,1002272
154,917950
155,939728
156,1024847
157,905298
158,912665
159,927865
160,1001264
161,913561
162,938362
163,996492
164,917698
165,916159
166,948467
167,1033646
168,930095
169,933286
170,1063774
171,967095
172,953384
173,1037009
174,943232
175,927244
176,997429
177,953794
178,942859
179,945369
180,1040881
181,954294
182,929950
183,1025621
184,918893
185,915959
186,896341
187,965346
188,925527
189,908499
190,1036253
191,929796
192,972810
193,978492
194,925718
195,964230
196,956006
197,1047002
198,941893
199,925560
200,1046032
201,913701
202,937050
203,1018428
204,900069
205,892707
206,904118
207,1032507
208,930346
209,933859
210,1064390
211,979188
212,979369
213,1072489
214,967781
215,985187
216,1089499
217,994317
218,998362
219,1069961
220,989022
221,1006904
222,1131174
223,992731
224,970627
225,970146
226,1026993
227,924128
228,914988
229,1220072
230,930431
231,950408
232,1081979
233,946661
234,917610
235,997163
236,946740
237,960032
238,935852
239,1057556
240,950323
241,965145
242,1074183
243,1020970
244,980395
245,1037257
246,938114
247,910636
248,1023681
249,922635
250,932969
251,908998
252,1002743
253,925453
254,899359
255,1006363
256,895100
257,883157
258,927883
259,990427
260,913360
261,951933
262,1057892
263,926461
264,1145739
265,1029937
266,945802
267,936099
268,1043429
269,953351
270,940685
